Sales_ID,Date_ID,Customer_ID,Product_ID,Store_ID,SoLuong,DonGiaBan,ThanhTien,GiaVon
63,20250421,CUST_103,FP3015,ST018,163,5500,894444.5449594007,4000
64,20250626,CUST_062,FP3040,ST006,33,70500,2297762.5604962725,41500
65,20250202,CUST_039,FP3040,ST004,156,70500,10994868.500752592,41500
66,20250408,CUST_273,FP3039,ST002,83,10000,826865.3975871151,6000
67,20250220,CUST_262,FP3037,ST002,124,7500,930223.5722855044,4500
68,20250329,CUST_012,FP3047,ST005,65,15000,973960.0511031245,10500
69,20250201,CUST_236,FP3036,ST005,32,10000,324653.3503677082,7500
70,20250223,CUST_254,FP3014,ST010,41,8500,345236.4715474824,5500
71,20250407,CUST_159,FP3035,ST008,63,6500,408218.50858479505,5000
72,20250422,CUST_038,FP3035,ST005,162,6500,1055123.3886950517,5000
73,20250127,CUST_169,FP3033,ST002,41,28500,1178283.1915616388,19000
74,20250503,CUST_250,FP3015,ST009,32,5500,173992.53336397654,4000
75,20250614,CUST_025,FP3019,ST006,163,30500,4970337.4535557665,21500
76,20250228,CUST_194,FP3044,ST004,156,13500,2105400.351207943,9000
77,20250506,CUST_243,FP3029,ST005,32,29500,957727.3835847391,22000
78,20250524,CUST_300,FP3046,ST010,81,12000,974785.3314281857,7000
79,20250323,CUST_141,FP3050,ST016,710,16500,11713447.808589004,10000
80,20250321,CUST_123,FP3027,ST003,57,17000,975002.4902697188,11000
81,20250316,CUST_147,FP3041,ST005,65,50500,3278998.8387138527,34000
82,20250321,CUST_129,FP3044,ST019,643,13500,8674154.476154985,9000
83,20250423,CUST_124,FP3044,ST024,176,13500,2375815.6496236664,9000
84,20250118,CUST_170,FP3005,ST007,98,25000,2438077.5729774525,15500
85,20250513,CUST_098,FP3036,ST002,41,10000,413432.69879355753,7500
86,20250127,CUST_233,FP3008,ST007,98,32500,3169500.844870688,23000
87,20250227,CUST_299,FP3043,ST021,158,13500,2127292.2674731812,9000
88,20250127,CUST_109,FP3009,ST003,115,34000,3900009.961078875,21500
89,20250408,CUST_106,FP3020,ST027,196,14500,2845657.188059052,10500
90,20250206,CUST_014,FP3025,ST004,52,18000,935733.4894257525,12500
91,20250109,CUST_165,FP3010,ST009,63,30500,1929735.3700368307,23000
92,20250326,CUST_138,FP3037,ST014,122,7500,918035.9500635443,4500
93,20250306,CUST_233,FP3025,ST001,121,18000,2184738.484360786,12500
94,20250110,CUST_074,FP3010,ST004,260,30500,7927742.063190403,23000
95,20250518,CUST_096,FP3050,ST003,57,16500,946325.9464382565,10000
96,20250629,CUST_270,FP3020,ST006,98,14500,1417768.388391317,10500
97,20250503,CUST_043,FP3035,ST025,1061,6500,6895902.614961379,5000
98,20250112,CUST_145,FP3004,ST007,98,17000,1657892.7496246677,10000
99,20250228,CUST_271,FP3031,ST008,63,38500,2417909.6277714786,24500
100,20250626,CUST_025,FP3005,ST020,132,25000,3299553.4221276515,15500
101,20250422,CUST_023,FP3030,ST023,218,51500,11248709.648794662,35000
102,20250417,CUST_288,FP3029,ST002,41,29500,1219626.4614409946,22000
103,20250610,CUST_025,FP3049,ST003,57,22500,1290444.4724158044,16000
104,20250201,CUST_286,FP3015,ST008,63,5500,345415.6611102112,4000
105,20250219,CUST_222,FP3027,ST009,127,17000,2151180.4125000737,11000
106,20250109,CUST_172,FP3001,ST008,63,11500,722232.7459577144,7000
107,20250406,CUST_110,FP3028,ST010,81,46000,3736677.103808045,33500
108,20250525,CUST_091,FP3015,ST003,172,5500,946325.9464382565,4000
109,20250222,CUST_142,FP3009,ST004,104,34000,3534993.1822750648,21500
110,20250305,CUST_234,FP3031,ST002,41,38500,1591715.8903551965,24500
111,20250105,CUST_156,FP3049,ST029,125,22500,2814727.761336025,16000
112,20250609,CUST_121,FP3014,ST002,41,8500,351417.7939745239,5500
113,20250202,CUST_195,FP3029,ST003,172,29500,5075748.258168831,22000
114,20250427,CUST_127,FP3009,ST013,440,34000,14971025.03920487,21500
115,20250418,CUST_248,FP3003,ST009,63,20000,1265400.242647102,13500
116,20250318,CUST_022,FP3042,ST008,314,42500,13345605.08834907,29000
117,20250125,CUST_132,FP3001,ST002,41,11500,475447.60361259116,7000
118,20250305,CUST_148,FP3024,ST021,315,17000,5357624.9699324565,12500
119,20250620,CUST_034,FP3043,ST003,57,13500,774266.6834494825,9000
120,20250519,CUST_242,FP3003,ST001,121,20000,2427487.204845318,13500
121,20250315,CUST_218,FP3050,ST026,167,16500,2753958.6034816843,10000
122,20250310,CUST_161,FP3033,ST006,33,28500,928882.7372218973,19000
123,20250428,CUST_001,FP3021,ST008,126,16000,2009691.1191866833,10500
124,20250121,CUST_083,FP3050,ST023,218,16500,3603955.5185458628,10000
125,20250518,CUST_001,FP3018,ST003,172,42500,7312518.677022891,25500
126,20250530,CUST_152,FP3007,ST010,81,22000,1787106.4409516738,17000
127,20250522,CUST_145,FP3012,ST005,32,23000,746702.7058457287,14000
128,20250426,CUST_129,FP3032,ST003,57,27500,1577209.9107304276,17000
129,20250613,CUST_037,FP3040,ST010,41,70500,2863431.911070295,41500
130,20250115,CUST_017,FP3009,ST002,165,34000,5622684.703592382,21500
131,20250311,CUST_093,FP3043,ST010,41,13500,548316.7489283545,9000
132,20250215,CUST_293,FP3028,ST004,104,46000,4782637.834842735,33500
133,20250201,CUST_219,FP3027,ST004,52,17000,883748.2955687662,11000
134,20250308,CUST_082,FP3040,ST010,81,70500,5726863.82214059,41500
135,20250519,CUST_260,FP3041,ST007,49,50500,2462458.348707227,34000
136,20250607,CUST_134,FP3029,ST019,321,29500,9477316.927650817,22000
137,20250214,CUST_257,FP3031,ST027,393,38500,15111420.929692896,24500
138,20250114,CUST_083,FP3036,ST002,124,10000,1240298.0963806727,7500
139,20250209,CUST_168,FP3045,ST003,57,13500,774266.6834494825,8500
140,20250508,CUST_109,FP3020,ST009,32,14500,458707.58795957454,10500
141,20250418,CUST_291,FP3043,ST010,41,13500,548316.7489283545,9000
142,20250314,CUST_046,FP3030,ST008,314,51500,16171733.224705342,35000
143,20250601,CUST_300,FP3009,ST023,218,34000,7426332.583670263,21500
144,20250520,CUST_081,FP3014,ST007,49,8500,414473.1874061669,5500
145,20250517,CUST_288,FP3024,ST008,188,17000,3202945.2212037765,12500
146,20250304,CUST_096,FP3006,ST002,41,19500,806193.7626474372,13000
147,20250129,CUST_229,FP3019,ST009,32,30500,964867.6850184153,21500
148,20250211,CUST_188,FP3023,ST023,109,13500,1474345.4394051258,8500
149,20250410,CUST_238,FP3026,ST003,172,18000,3097066.73379793,11500
150,20250429,CUST_153,FP3033,ST003,57,28500,1634562.9983933521,19000
151,20250302,CUST_273,FP3047,ST003,229,15000,3441185.2597754784,10500
152,20250307,CUST_298,FP3015,ST005,65,5500,357118.685404479,4000
153,20250425,CUST_077,FP3033,ST007,98,28500,2779408.4331942955,19000
154,20250312,CUST_098,FP3023,ST010,41,13500,548316.7489283545,8500
155,20250331,CUST_298,FP3049,ST016,237,22500,5324294.458449547,16000
156,20250204,CUST_225,FP3021,ST029,625,16000,10007920.929194756,10500
157,20250102,CUST_199,FP3038,ST009,127,11500,1455210.2790441674,7000
158,20250410,CUST_204,FP3031,ST009,127,38500,4871790.934191343,24500
159,20250418,CUST_298,FP3007,ST010,41,22000,893553.2204758369,17000
160,20250421,CUST_181,FP3003,ST007,195,20000,3900924.116763924,13500
161,20250105,CUST_055,FP3043,ST007,146,13500,1974842.8341117364,9000
162,20250607,CUST_022,FP3020,ST009,32,14500,458707.58795957454,10500
163,20250301,CUST_190,FP3047,ST002,124,15000,1860447.1445710089,10500
164,20250411,CUST_081,FP3005,ST007,49,25000,1219038.7864887263,15500
165,20250223,CUST_298,FP3013,ST006,65,12500,814809.4186156994,8000
166,20250404,CUST_255,FP3012,ST002,41,23000,950895.2072251823,14000
167,20250328,CUST_202,FP3032,ST029,250,27500,6880445.638821394,17000
168,20250102,CUST_053,FP3032,ST010,41,27500,1116941.525594796,17000
169,20250513,CUST_159,FP3046,ST004,156,12000,1871466.978851505,7000
170,20250419,CUST_234,FP3027,ST023,328,17000,5569749.437752698,11000
171,20250209,CUST_108,FP3013,ST010,41,12500,507700.69345218,8000
172,20250422,CUST_083,FP3033,ST006,33,28500,928882.7372218973,19000
173,20250530,CUST_111,FP3014,ST008,63,8500,533824.2035339628,5500
174,20250617,CUST_122,FP3041,ST024,176,50500,8887310.393036678,34000
175,20250629,CUST_138,FP3022,ST005,162,18500,3003043.4909013007,11500
176,20250602,CUST_029,FP3026,ST001,61,18000,1092369.242180393,11500
177,20250407,CUST_219,FP3033,ST004,104,28500,2963156.049848216,19000
178,20250430,CUST_110,FP3045,ST009,63,13500,854145.163786794,8500
179,20250527,CUST_195,FP3035,ST012,464,6500,3018761.2194686285,5000
180,20250221,CUST_066,FP3023,ST008,126,13500,1695676.881813764,8500
181,20250502,CUST_295,FP3032,ST005,32,27500,892796.7135111975,17000
182,20250309,CUST_030,FP3050,ST007,49,16500,804565.5990825592,10000
183,20250626,CUST_257,FP3004,ST007,49,17000,828946.3748123338,10000
184,20250214,CUST_153,FP3013,ST005,32,12500,405816.6879596352,8000
185,20250621,CUST_188,FP3018,ST018,813,42500,34558084.691613205,25500
186,20250521,CUST_049,FP3040,ST004,52,70500,3664956.166917531,41500
187,20250520,CUST_262,FP3025,ST007,146,18000,2633123.7788156485,12500
188,20250412,CUST_111,FP3045,ST003,57,13500,774266.6834494825,8500
189,20250317,CUST_148,FP3049,ST027,393,22500,8831349.893976368,16000
190,20250402,CUST_117,FP3005,ST001,61,25000,1517179.5030283239,15500
191,20250324,CUST_222,FP3044,ST008,188,13500,2543515.3227206464,9000
192,20250502,CUST_157,FP3032,ST003,115,27500,3154419.821460855,17000
193,20250426,CUST_180,FP3034,ST005,32,12500,405816.6879596352,7500
194,20250114,CUST_154,FP3026,ST009,63,18000,1138860.2183823918,11500
195,20250104,CUST_282,FP3037,ST009,63,7500,474525.0909926633,4500
196,20250223,CUST_194,FP3028,ST007,98,46000,4486062.734278512,33500
197,20250118,CUST_287,FP3035,ST007,49,6500,316950.0844870688,5000
198,20250205,CUST_292,FP3045,ST009,63,13500,854145.163786794,8500
199,20250317,CUST_032,FP3047,ST002,41,15000,620149.0481903363,10500
200,20250111,CUST_159,FP3037,ST010,162,7500,1218481.664285232,4500
201,20250614,CUST_117,FP3027,ST021,158,17000,2678812.4849662283,11000
202,20250311,CUST_190,FP3048,ST009,63,13000,822510.1577206163,8000
203,20250603,CUST_225,FP3009,ST022,292,34000,9919154.441222632,21500
204,20250602,CUST_116,FP3018,ST012,232,42500,9869027.06364744,25500
205,20250302,CUST_002,FP3001,ST006,163,11500,1874061.6628161087,7000
206,20250314,CUST_158,FP3019,ST001,121,30500,3701917.98738911,21500
207,20250424,CUST_060,FP3048,ST002,124,13000,1612387.5252948743,8000
208,20250629,CUST_253,FP3028,ST010,122,46000,5605015.655712067,33500
209,20250324,CUST_221,FP3014,ST010,81,8500,690472.9430949648,5500
210,20250302,CUST_027,FP3046,ST006,65,12000,782217.0418710714,7000
211,20250422,CUST_218,FP3045,ST005,32,13500,438282.022996406,8500
212,20250227,CUST_175,FP3019,ST001,61,30500,1850958.993694555,21500
213,20250620,CUST_151,FP3024,ST004,156,17000,2651244.8867062987,12500
214,20250208,CUST_079,FP3011,ST006,33,23500,765920.8534987575,17000
215,20250611,CUST_060,FP3027,ST007,49,17000,828946.3748123338,11000
216,20250627,CUST_121,FP3030,ST025,212,51500,10927353.374477264,35000
217,20250203,CUST_009,FP3001,ST005,32,11500,373351.3529228644,7000
218,20250314,CUST_115,FP3008,ST003,57,32500,1863975.3490450508,23000
219,20250126,CUST_173,FP3015,ST008,63,5500,345415.6611102112,4000
220,20250113,CUST_250,FP3006,ST002,41,19500,806193.7626474372,13000
221,20250627,CUST_110,FP3047,ST013,440,15000,6604863.987884501,10500
222,20250612,CUST_286,FP3026,ST007,195,18000,3510831.7050875314,11500
223,20250227,CUST_080,FP3024,ST005,32,17000,551910.6956251039,12500
224,20250122,CUST_299,FP3039,ST006,98,10000,977771.3023388393,6000
225,20250216,CUST_044,FP3017,ST003,115,49500,5677955.678629539,31000
226,20250508,CUST_265,FP3033,ST006,65,28500,1857765.4744437947,19000
227,20250221,CUST_195,FP3030,ST020,264,51500,13594160.099165924,35000
228,20250326,CUST_123,FP3020,ST005,65,14500,941494.7160663537,10500
229,20250526,CUST_022,FP3005,ST007,49,25000,1219038.7864887263,15500
230,20250103,CUST_135,FP3018,ST006,33,42500,1385176.011646689,25500
231,20250205,CUST_074,FP3035,ST007,146,6500,950850.2534612064,5000
232,20250304,CUST_073,FP3032,ST016,473,27500,13014942.009543339,17000
233,20250211,CUST_110,FP3021,ST006,98,16000,1564434.083742143,10500
234,20250426,CUST_090,FP3048,ST026,668,13000,8679142.265518036,8000
235,20250123,CUST_021,FP3041,ST002,207,50500,10439175.644537328,34000
236,20250519,CUST_062,FP3025,ST009,32,18000,569430.1091911959,12500
237,20250528,CUST_141,FP3007,ST023,109,22000,2402637.012363909,17000
238,20250206,CUST_085,FP3010,ST020,132,30500,4025455.174995735,23000
239,20250504,CUST_108,FP3001,ST003,57,11500,659560.5081236333,7000
240,20250427,CUST_007,FP3004,ST008,314,17000,5338242.035339627,10000
241,20250120,CUST_128,FP3008,ST016,473,32500,15381295.102187581,23000
242,20250512,CUST_228,FP3045,ST005,32,13500,438282.022996406,8500
243,20250419,CUST_022,FP3036,ST002,124,10000,1240298.0963806727,7500
244,20250623,CUST_106,FP3029,ST004,156,29500,4600689.656343283,22000
245,20250131,CUST_123,FP3012,ST010,41,23000,934169.2759520112,14000
246,20250601,CUST_227,FP3014,ST010,41,8500,345236.4715474824,5500
247,20250513,CUST_111,FP3026,ST002,41,18000,744178.8578284036,11500
248,20250306,CUST_157,FP3038,ST009,32,11500,363802.56976104184,7000
249,20250113,CUST_013,FP3037,ST018,488,7500,3659091.320288457,4500
250,20250503,CUST_210,FP3028,ST005,65,46000,2986810.823382915,33500
251,20250618,CUST_089,FP3014,ST007,98,8500,828946.3748123338,5500
252,20250625,CUST_016,FP3003,ST002,41,20000,826865.3975871151,13500
253,20250105,CUST_238,FP3030,ST029,125,51500,6442599.098169124,35000
254,20250222,CUST_110,FP3043,ST010,41,13500,548316.7489283545,9000
255,20250221,CUST_288,FP3020,ST001,61,14500,879964.1117564278,10500
256,20250620,CUST_033,FP3040,ST003,57,70500,4043392.680236187,41500
257,20250616,CUST_281,FP3050,ST007,49,16500,804565.5990825592,10000
258,20250522,CUST_182,FP3045,ST003,172,13500,2322800.0503484476,8500
259,20250503,CUST_048,FP3019,ST009,63,30500,1929735.3700368307,21500
260,20250420,CUST_082,FP3043,ST001,243,13500,3277107.7265411797,9000
261,20250211,CUST_125,FP3019,ST007,49,30500,1487227.319516246,21500
262,20250620,CUST_080,FP3010,ST006,33,30500,994067.4907111533,23000
263,20250125,CUST_013,FP3020,ST003,57,14500,831619.7711124072,10500
264,20250206,CUST_122,FP3023,ST009,32,13500,427072.581893397,8500
265,20250309,CUST_084,FP3036,ST005,97,10000,973960.0511031245,7500
266,20250315,CUST_036,FP3006,ST001,121,19500,2366800.024724185,13000
267,20250131,CUST_105,FP3029,ST004,104,29500,3067126.4375621886,22000
268,20250104,CUST_168,FP3032,ST002,124,27500,3410819.7650468494,17000
269,20250306,CUST_094,FP3020,ST027,196,14500,2845657.188059052,10500
270,20250408,CUST_071,FP3047,ST001,121,15000,1820615.4036339887,10500
271,20250430,CUST_053,FP3023,ST009,32,13500,427072.581893397,8500
272,20250530,CUST_228,FP3046,ST008,314,12000,3768170.8484750316,7000
273,20250424,CUST_109,FP3008,ST006,98,32500,3177756.7326012277,23000
274,20250421,CUST_185,FP3009,ST007,146,34000,4973678.248874003,21500
275,20250123,CUST_015,FP3037,ST008,63,7500,471021.35605937894,4500
276,20250506,CUST_156,FP3037,ST009,63,7500,474525.0909926633,4500
277,20250427,CUST_272,FP3001,ST009,95,11500,1091407.7092831256,7000
278,20250220,CUST_046,FP3021,ST003,172,16000,2752948.2078203824,10500
279,20250527,CUST_159,FP3029,ST008,126,29500,3705368.0010004477,22000
280,20250430,CUST_093,FP3042,ST006,65,42500,2770352.023293378,29000
281,20250403,CUST_134,FP3046,ST001,61,12000,728246.1614535955,7000
282,20250531,CUST_021,FP3049,ST004,156,22500,3509000.5853465716,16000
283,20250607,CUST_017,FP3024,ST026,334,17000,5674823.788992562,12500
284,20250103,CUST_004,FP3020,ST006,33,14500,472589.46279710566,10500
285,20250509,CUST_254,FP3004,ST010,81,17000,1380945.8861899297,10000
286,20250531,CUST_039,FP3001,ST002,124,11500,1426342.8108377734,7000
287,20250104,CUST_144,FP3011,ST002,124,23500,2914700.5264945803,17000
288,20250104,CUST_144,FP3004,ST004,52,17000,883748.2955687662,10000
289,20250129,CUST_069,FP3002,ST010,81,12000,974785.3314281857,8000
290,20250603,CUST_133,FP3044,ST006,33,13500,439997.0860524777,9000
291,20250329,CUST_289,FP3003,ST001,182,20000,3641230.8072679774,13500
292,20250414,CUST_206,FP3007,ST003,57,22000,1261767.928584342,17000
293,20250523,CUST_013,FP3029,ST002,41,29500,1219626.4614409946,22000
294,20250619,CUST_040,FP3005,ST018,163,25000,4065657.02254273,15500
295,20250210,CUST_089,FP3050,ST004,104,16500,1715511.3972805461,10000
296,20250504,CUST_058,FP3046,ST001,61,12000,728246.1614535955,7000
297,20250202,CUST_017,FP3040,ST008,63,70500,4427600.746958162,41500
298,20250124,CUST_087,FP3025,ST003,115,18000,2064711.155865287,12500
299,20250207,CUST_088,FP3017,ST008,188,49500,9326222.849975703,31000
300,20250109,CUST_028,FP3038,ST001,182,11500,2093707.714179087,7000
301,20250218,CUST_227,FP3020,ST006,33,14500,472589.46279710566,10500
302,20250517,CUST_129,FP3020,ST006,98,14500,1417768.388391317,10500
303,20250609,CUST_022,FP3024,ST004,156,17000,2651244.8867062987,12500
304,20250624,CUST_229,FP3035,ST009,63,6500,411255.07886030816,5000
305,20250522,CUST_224,FP3031,ST008,188,38500,7253728.883314435,24500
306,20250302,CUST_265,FP3031,ST006,33,38500,1254806.504668177,24500
307,20250418,CUST_175,FP3005,ST002,165,25000,4134326.987935575,15500
308,20250308,CUST_109,FP3017,ST001,61,49500,3004015.415996081,31000
309,20250510,CUST_157,FP3049,ST008,63,22500,1413064.0681781368,16000
310,20250327,CUST_079,FP3010,ST007,98,30500,2974454.639032492,23000
311,20250530,CUST_212,FP3018,ST010,41,42500,1726182.3577374122,25500
312,20250620,CUST_287,FP3025,ST006,65,18000,1173325.5628066072,12500
313,20250312,CUST_067,FP3015,ST008,63,5500,345415.6611102112,4000
314,20250322,CUST_272,FP3012,ST002,41,23000,950895.2072251823,14000
315,20250614,CUST_051,FP3036,ST001,61,10000,606871.8012113295,7500
316,20250317,CUST_231,FP3049,ST016,237,22500,5324294.458449547,16000
317,20250418,CUST_027,FP3037,ST006,98,7500,733328.4767541295,4500
318,20250203,CUST_287,FP3033,ST003,172,28500,4903688.995180056,19000
319,20250627,CUST_029,FP3028,ST004,104,46000,4782637.834842735,33500
320,20250630,CUST_190,FP3031,ST009,32,38500,1217947.7335478358,24500
321,20250617,CUST_263,FP3011,ST002,41,23500,971566.8421648602,17000
322,20250417,CUST_090,FP3023,ST005,65,13500,876564.045992812,8500
323,20250609,CUST_153,FP3022,ST013,220,18500,4072999.459195442,11500
324,20250104,CUST_156,FP3029,ST005,32,29500,957727.3835847391,22000
325,20250629,CUST_090,FP3049,ST020,528,22500,11878392.319659546,16000
326,20250208,CUST_034,FP3021,ST008,188,16000,3014536.6787800253,10500
327,20250304,CUST_158,FP3036,ST010,41,10000,406160.55476174405,7500
328,20250202,CUST_115,FP3028,ST003,57,46000,2638242.0324945333,33500
329,20250325,CUST_229,FP3018,ST005,32,42500,1379776.7390627598,25500
330,20250217,CUST_020,FP3025,ST002,41,18000,744178.8578284036,12500
331,20250406,CUST_087,FP3047,ST010,41,15000,609240.832142616,10500
332,20250117,CUST_044,FP3047,ST002,41,15000,620149.0481903363,10500
333,20250212,CUST_273,FP3015,ST003,172,5500,946325.9464382565,4000
334,20250326,CUST_015,FP3003,ST003,57,20000,1147061.7532584928,13500
335,20250114,CUST_149,FP3049,ST008,314,22500,7065320.340890684,16000
336,20250124,CUST_100,FP3035,ST011,774,6500,5028266.776433567,5000
337,20250220,CUST_019,FP3019,ST015,209,30500,6362601.854426185,21500
338,20250606,CUST_297,FP3050,ST002,41,16500,682163.9530093699,10000
339,20250210,CUST_178,FP3018,ST001,182,42500,7737615.465444451,25500
340,20250429,CUST_191,FP3004,ST003,229,17000,3900009.961078875,10000
341,20250213,CUST_093,FP3049,ST009,158,22500,3558938.182444975,16000
342,20250108,CUST_298,FP3043,ST002,41,13500,558134.1433713026,9000
343,20250207,CUST_027,FP3041,ST002,41,50500,2087835.1289074654,34000
344,20250318,CUST_118,FP3010,ST003,57,30500,1749269.1737192015,23000
345,20250406,CUST_175,FP3025,ST020,264,18000,4751356.927863818,12500
346,20250307,CUST_297,FP3014,ST007,146,8500,1243419.5622185008,5500
347,20250116,CUST_123,FP3045,ST012,232,13500,3134867.420217422,8500
348,20250519,CUST_009,FP3026,ST005,32,18000,584376.0306618747,11500
349,20250513,CUST_202,FP3009,ST004,52,34000,1767496.5911375324,21500
350,20250319,CUST_030,FP3049,ST009,32,22500,711787.6364889949,16000
351,20250513,CUST_025,FP3020,ST003,57,14500,831619.7711124072,10500
352,20250320,CUST_177,FP3015,ST011,1160,5500,6382030.908550296,4000
353,20250122,CUST_274,FP3049,ST002,41,22500,930223.5722855044,16000
354,20250321,CUST_279,FP3018,ST001,61,42500,2579205.1551481504,25500
355,20250501,CUST_252,FP3011,ST010,41,23500,954477.3036900985,17000
356,20250218,CUST_105,FP3032,ST003,229,27500,6308839.64292171,17000
357,20250402,CUST_259,FP3016,ST010,81,6000,487392.66571409284,4500
358,20250604,CUST_019,FP3012,ST008,63,23000,1444465.4919154288,14000
359,20250425,CUST_291,FP3018,ST016,1183,42500,50285003.21869017,25500
360,20250122,CUST_157,FP3032,ST024,352,27500,9679248.942911234,17000
361,20250312,CUST_178,FP3049,ST009,32,22500,711787.6364889949,16000
362,20250410,CUST_234,FP3019,ST009,95,30500,2894603.055055246,21500
363,20250209,CUST_268,FP3025,ST008,314,18000,5652256.272712547,12500
364,20250303,CUST_090,FP3032,ST007,49,27500,1340942.6651375988,17000
365,20250114,CUST_051,FP3020,ST002,41,14500,599477.4132506584,10500
366,20250518,CUST_156,FP3009,ST009,32,34000,1075590.2062500368,21500
367,20250430,CUST_241,FP3033,ST004,104,28500,2963156.049848216,19000
368,20250302,CUST_262,FP3042,ST003,57,42500,2437506.225674297,29000
369,20250604,CUST_174,FP3037,ST029,125,7500,938242.5871120082,4500
370,20250324,CUST_283,FP3020,ST010,41,14500,588932.8044045288,10500
371,20250602,CUST_114,FP3009,ST018,325,34000,11058587.101316227,21500
372,20250328,CUST_010,FP3046,ST004,156,12000,1871466.978851505,7000
